Question Number,Answer,Point Value,Question Type
1,1,5,Fermi Questions
2,2,5,Fermi Questions
3,3,5,Fermi Questions
4,4,5,Fermi Questions
5,5,5,Fermi Questions
6,6,5,Fermi Questions
7,7,5,Fermi Questions
8,8,5,Fermi Questions
9,9,5,Fermi Questions
10,1,5,Fermi Questions
11,2,5,Fermi Questions
12,3,5,Fermi Questions
13,4,5,Fermi Questions
14,5,5,Fermi Questions
15,6,5,Fermi Questions
16,7,5,Fermi Questions
17,8,5,Fermi Questions
18,9,5,Fermi Questions
19,1,5,Fermi Questions
20,2,5,Fermi Questions
21,3,5,Fermi Questions
22,4,5,Fermi Questions
23,5,5,Fermi Questions
24,6,5,Fermi Questions
25,7,5,Fermi Questions
26,8,5,Fermi Questions
27,9,5,Fermi Questions
28,1,5,Fermi Questions
29,2,5,Fermi Questions
30,3,5,Fermi Questions
31,4,5,Fermi Questions
32,5,5,Fermi Questions
33,6,5,Fermi Questions
34,7,5,Fermi Questions
35,8,5,Fermi Questions
36,9,5,Fermi Questions
37,1,5,Fermi Questions
38,2,5,Fermi Questions
39,3,5,Fermi Questions
